id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,residuals,internal_msg
26,PENLT2NE,4,8,0,first_order,0.0,0.001,3,2.522407116545792e-5,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[-7.087488830481324e-6, 2.682716884601022e-6, 4.950171791043122e-6, 7.653501318520196e-6, -1.332625136315777e-6, -1.3330704126411015e-6, -1.3335150088387077e-6, 6.888514334978449e-6]",Solve_Succeeded
27,HS42,4,2,0,first_order,13.857779388617796,0.003,3,4.428351878971171e-6,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[3.7692893381901366e-6, -2.989301857580899e-5]",Solve_Succeeded
28,HS27,3,1,0,first_order,0.04000000896924135,0.022,39,1.0401615491768823e-5,0.0001,108,49,113,0,0,54,0,0,44,0,0,0,0,0,0,0,0,0,0,,[2.2713745887716768e-7],Solve_Succeeded
29,DENSCHNBNE,2,3,0,first_order,0.0,0.003,6,6.319554967049168e-5,0.01,11,12,11,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,,"[6.584677671995533e-5, -7.262656625545497e-5, -6.413135426425357e-5]",Solve_Succeeded
30,DIXCHLNG,10,5,0,first_order,427.3960594806123,1.125,2895,0.000679318978979572,1.0e-5,2906,2911,2906,0,0,2919,0,0,2903,0,0,0,0,0,0,0,0,0,0,,"[0.00013479442718165955, -0.00016611072080529685, 0.0001039636085042799, -2.935191065197869e-5, 2.798315195673664e-6]",Solve_Succeeded
31,VARDIMNE,10,12,0,first_order,0.0,0.019000000000000003,45,0.00025532682516929417,0.0001,61,57,61,0,0,63,0,0,51,0,0,0,0,0,0,0,0,0,0,,"[-3.849611555315186e-7, -7.699223110630084e-7, -1.1548834665944635e-6, -1.5398446221260168e-6, -1.9248057776573804e-6, -2.3097669331889948e-6, -2.6947280887205515e-6, -3.0796892442518846e-6, -3.464650399783719e-6, -3.84961155531493e-6, -0.00014821004487973856, 5.455014005906907e-6]",Solve_Succeeded
32,HIMMELBE,3,3,0,first_order,0.0,0.003,3,3.122502256758253e-17,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[-4.336808689942018e-19, -8.673617379884035e-19, 0.0]",Solve_Succeeded
33,CERI651A,7,61,0,max_iter,0.0,28.697,34298,5.858654116789694e8,1.0,35751,34349,35767,0,0,34370,0,0,34328,0,0,0,0,0,0,0,0,0,0,,"[-0.5416025800101065, 0.9514626579456931, 1.2839545027737571, 0.10632528400522244, 1.939581032059759, 0.27824479827550846, 0.8076161357669479, 0.19090567459412475, -0.8115821049697576, -1.699038730635898, -6.094590993345184, -1.500016590751848, -3.6757982213682436, -4.72361608355352, -3.056155318420721, -2.177397010206705, 2.017463444391859, -2.374813867283164, 2.1624181867447634, -2.675153801769906, 0.10574130394971645, 3.474983458863085, -0.9222847369232369, -0.19623228990893263, 3.4442522204206356, 2.9832137472186377, -5.63775561906065, -0.5384106103791495, -2.3543828346637867, -0.9397905633333352, 1.313482511392423, -1.8877422591238415, 2.163584723873954, 2.038657840771101, 3.30696932403369, 1.6845464726950383, 3.4122881539008474, 2.5624273512580875, 2.931637938443734, 3.9425704520493414, 3.387301865527464, 3.712659488451779, 2.999047538948443, 2.5745595699378647, 1.558516506977592, 0.9811408693406265, -0.5346343832320416, 1.556056679380651, 2.012932271399256, -1.8481682932075592, -0.6459328445579194, 0.5003491110925481, 1.1898400113408725, 1.7070086617123919, 0.4296188347146825, 0.4059857700624535, 0.38234868815937556, -0.15189922733667585, -2.2714072383238544, -2.3188843907803673, -0.23413215184035216]",Solve_Failed
34,MISRA1C,2,14,0,max_iter,0.0,1.8099999999999994,3865,1.2979496284020796e7,0.01,9007,3919,9007,0,0,3940,0,0,3898,0,0,0,0,0,0,0,0,0,0,,"[0.033337671300053405, 0.03502044082360955, 0.03441000391651526, 0.06829866541547952, 0.029895092114116582, 0.03870554188919333, 0.04471709454495267, -0.0660804015916171, -0.03541138300417145, -0.08318582828220644, -0.037268770510850334, -0.08024116365274664, 0.07035319772548729, 0.05541795540513434]",Solve_Failed
35,HATFLDG,25,25,0,first_order,0.0,0.006,6,7.94518867666186e-7,0.001,19,14,20,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[4.2664557098897216e-7, -5.232265811905019e-6, 8.152329261399422e-7, 8.739828413063908e-7, 7.652429521637923e-7, 3.2077677949188146e-7, 8.853552933803038e-7, 2.235277442809891e-9, 9.750767349648958e-7, -3.0992168495646503e-7, 1.098295493544288e-6, -6.518599775154734e-7, 1.424479391268495e-6, 1.0526387023369394e-6, 9.108620735799914e-7, 7.406704659259792e-7, 6.498386753368065e-7, 5.294518356507302e-7, 4.628970280883346e-7, 3.734716560040255e-7, 3.1998122278079685e-7, 2.534333658476485e-7, 2.0642764726790325e-7, 1.5669551922550904e-7, 9.97780756259697e-8]",Solve_Succeeded
